Nacional;Comunidades y Ciudades Autonomas;Causas (lista reducida);Sexo;Edad;Total
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;1
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;4
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;1
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;0
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;151
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;1
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;10
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;13
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;8
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;16
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;21
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;11
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;19
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;14
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;5
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;6
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;11
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;11
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;4
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;1
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;1
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;0
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;5
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;11
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;7
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;12
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;12
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;7
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;12
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;13
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;1
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;5
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;7
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;9
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;3
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;0
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;47
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;1
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;5
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;2
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;1
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;4
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;9
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;4
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;7
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;1
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;4
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;1
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;4
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;2
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;1
Total Nacional;Galicia; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;1
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;2
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;0
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;20
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;21
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;18
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;19
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;24
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;28
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;19
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;10
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;13
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;13
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;9
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;7
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;4
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;2
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;137
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;0
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;11
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;17
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;15
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;14
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;15
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;16
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;13
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;6
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;6
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;9
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;6
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;5
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;3
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;1
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;70
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;9
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;4
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;3
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;5
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;9
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;12
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;6
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;4
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;7
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;4
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;3
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;2
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;1
Total Nacional;Madrid, Comunidad de; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;1
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;70
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;7
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;9
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;9
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;9
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;9
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;4
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;3
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;4
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;5
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;6
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;3
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;2
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;56
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;5
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;7
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;4
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;9
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;8
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;4
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;3
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;2
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;4
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;6
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;2
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;2
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;14
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;2
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;2
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;5
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;1
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;2
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;1
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;1
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;0
Total Nacional;Murcia, Region de; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;30
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;3
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;1
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;4
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;4
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;5
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;4
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;1
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;1
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;1
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;18
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;1
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;4
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;3
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;1
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;1
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;12
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;1
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;2
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;0
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;1
Total Nacional;Navarra, Comunidad Foral de; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;0
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;78
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;0
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;7
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;8
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;7
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;6
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;6
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;10
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;5
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;8
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;5
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;3
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;7
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;3
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;2
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;1
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;53
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;0
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;4
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;5
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;6
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;5
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;5
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;6
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;3
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;4
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;3
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;2
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;5
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;3
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;2
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;0
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;25
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;3
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;3
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;1
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;1
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;1
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;4
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;2
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;4
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;2
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;1
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;2
Total Nacional;Pais Vasco; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;0
